x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,Setpoint,AccuTsat
5367.73,40.983,33.816,17.288,-2.941,,-4.029
5422.54,41.017,33.802,17.26,-2.771,,-4.006
5439.99,41.025,33.804,17.257,-2.826,,-4
5496.68,41.043,33.812,17.285,-3.17,,-3.991
5507.61,41.045,33.814,17.297,-3.168,,-3.992
5526.22,41.049,33.816,17.323,-2.998,,-3.994
5559.47,41.053,33.821,17.379,-2.711,,-4.007
5566.07,41.054,33.822,17.391,-2.73,,-4.01
5633.38,41.058,33.831,17.513,-3.243,,-4.054
5700.96,41.063,33.841,17.592,-2.938,,-4.084
5714.62,41.065,33.842,17.595,-2.944,,-4.083
5743.27,41.07,33.846,17.575,-3.085,,-4.07
5759.15,41.073,33.849,17.543,-3.127,,-4.058
5798.84,41.088,33.854,17.404,-2.973,,-4.018
5809.77,41.095,33.858,17.358,-2.919,,-4.007
5828.27,41.109,33.866,17.288,-2.86,,-3.989
5878.07,41.18,33.885,17.342,-2.925,,-3.96
5890.8,41.207,33.89,17.457,-2.969,,-3.959
5913.16,41.255,33.899,17.751,-3.05,,-3.965
5923.61,41.276,33.903,17.9,-3.085,,-3.97
5929.2,41.286,33.903,17.976,-3.103,,-3.974
5983.93,41.356,33.904,17.991,-3.239,,-4.038
6005.94,41.369,33.904,16.604,-3.163,,-4.08
6007.67,41.369,33.904,16.355,-3.144,,-4.084
6014.04,41.37,33.904,14.856,-3.075,,-4.099
6018.73,41.37,27.739,11.902,-3.019,,-4.11
6020.23,41.37,20.927,9.332,-2.999,,-4.114
6021.91,41.369,31.963,6.468,-2.976,,-4.119
6031.33,41.366,4.191,2.379,-2.814,,-4.145
6032.66,41.365,0.263,2.147,-2.784,,-4.149
